title,technologies
Junior Python Developer,"Mathematics, Python3, C/C++"
Python developer,Python
Senior/Team Lead Back-end Developer (Python),"Python, Backend development"
Senior Python AI agent Engineer,"Python, AI, ML, Backend development, LangChain, LLMs"
Senior Backend (Python) Engineer,"Python, Docker/Kubernetes"
"Python Developers (Permanent/ requires relocation to Abu Dhabi, UAE)",Python
Python Розробник (на проект),"Python, Python / Django"
Python developer / middle,Python
Algorithms Developer for Fintech SAAS,"Algorithms, Numpy"
junior Python,Python
Python Developer,Python
Middle Python Developer,"AI, Python, MongoDB, AWS Lambda, SQL"
Python Developer (Scraping),"Python, web scraping, Data Scraping & Processing, Selenium, Beautifulsoup"
Junior Software Engineer,"algorithm theory, linear algebra., Python, Machine Learning, Mathematics, C++, C"
